,State,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
0,west bengal,Kolkata,Mechua,Banana,Other,Large,2100,3400,2800,30 Jun 2021
1,west bengal,Kolkata,Mechua,Banana,Other,Medium,1900,2800,2500,30 Jun 2021
2,west bengal,Kolkata,Mechua,Banana,Other,Small,1100,2000,1700,30 Jun 2021
3,west bengal,Kolkata,Mechua,Banana,Other,Large,2100,3300,2800,29 Jun 2021
4,west bengal,Kolkata,Mechua,Banana,Other,Medium,1900,2700,2400,29 Jun 2021
5,west bengal,Kolkata,Mechua,Banana,Other,Small,1000,2000,1600,29 Jun 2021
6,west bengal,Kolkata,Mechua,Banana,Other,Large,2100,3400,2800,28 Jun 2021
7,west bengal,Kolkata,Mechua,Banana,Other,Medium,1900,2800,2500,28 Jun 2021
8,west bengal,Kolkata,Mechua,Banana,Other,Small,1100,2000,1600,28 Jun 2021
9,west bengal,Kolkata,Mechua,Banana,Other,Large,2100,3300,2700,26 Jun 2021
10,west bengal,Kolkata,Mechua,Banana,Other,Medium,1900,2800,2300,26 Jun 2021
11,west bengal,Kolkata,Mechua,Banana,Other,Small,1100,2000,1600,26 Jun 2021
12,west bengal,Kolkata,Mechua,Banana,Other,Large,2100,3300,2700,25 Jun 2021
13,west bengal,Kolkata,Mechua,Banana,Other,Medium,1900,2800,2400,25 Jun 2021
14,west bengal,Kolkata,Mechua,Banana,Other,Small,1100,2000,1600,25 Jun 2021
15,west bengal,Kolkata,Mechua,Banana,Other,Large,2100,3300,2700,24 Jun 2021
16,west bengal,Kolkata,Mechua,Banana,Other,Medium,1900,2800,2400,24 Jun 2021
17,west bengal,Kolkata,Mechua,Banana,Other,Small,1100,2000,1600,24 Jun 2021
18,west bengal,Kolkata,Mechua,Banana,Other,Large,2100,3300,2700,23 Jun 2021
19,west bengal,Kolkata,Mechua,Banana,Other,Medium,1900,2800,2300,23 Jun 2021
20,west bengal,Kolkata,Mechua,Banana,Other,Small,1000,1900,1600,23 Jun 2021
21,west bengal,Kolkata,Mechua,Banana,Other,Large,2100,3300,2700,22 Jun 2021
22,west bengal,Kolkata,Mechua,Banana,Other,Medium,1900,2800,2500,22 Jun 2021
23,west bengal,Kolkata,Mechua,Banana,Other,Small,1100,1900,1700,22 Jun 2021
24,west bengal,Kolkata,Mechua,Banana,Other,Large,2200,3400,2700,21 Jun 2021
25,west bengal,Kolkata,Mechua,Banana,Other,Medium,1900,2900,2400,21 Jun 2021
26,west bengal,Kolkata,Mechua,Banana,Other,Small,1100,2000,1600,21 Jun 2021
27,west bengal,Kolkata,Mechua,Banana,Other,Large,2100,3300,2700,20 Jun 2021
28,west bengal,Kolkata,Mechua,Banana,Other,Medium,1900,2700,2300,20 Jun 2021
29,west bengal,Kolkata,Mechua,Banana,Other,Small,1100,2000,1600,20 Jun 2021
30,west bengal,Kolkata,Mechua,Banana,Other,Large,2100,3300,2800,19 Jun 2021
31,west bengal,Kolkata,Mechua,Banana,Other,Medium,1900,2800,2400,19 Jun 2021
